time,open,high,low,close,volume
1534204800000,16.0,16.0,16.0,16.0,0
1534291200000,18.0,18.0,18.0,18.0,0
1534377600000,21.0,21.0,21.0,21.0,0
1534464000000,19.0,19.0,19.0,19.0,0
1534550400000,24.0,24.0,24.0,24.0,0
1534636800000,27.0,27.0,27.0,27.0,0
1534723200000,26.0,26.0,26.0,26.0,0
1534809600000,19.0,19.0,19.0,19.0,0
1534896000000,21.0,21.0,21.0,21.0,0
1534982400000,18.0,18.0,18.0,18.0,0
1535068800000,19.0,19.0,19.0,19.0,0
1535155200000,22.0,22.0,22.0,22.0,0
1535241600000,19.0,19.0,19.0,19.0,0
1535328000000,18.0,18.0,18.0,18.0,0
1535414400000,19.0,19.0,19.0,19.0,0
1535500800000,19.0,19.0,19.0,19.0,0
1535587200000,22.0,22.0,22.0,22.0,0
1535673600000,17.0,17.0,17.0,17.0,0
1535760000000,21.0,21.0,21.0,21.0,0
1535846400000,18.0,18.0,18.0,18.0,0
1535932800000,19.0,19.0,19.0,19.0,0
1536019200000,26.0,26.0,26.0,26.0,0
1536105600000,17.0,17.0,17.0,17.0,0
1536192000000,14.0,14.0,14.0,14.0,0
1536278400000,17.0,17.0,17.0,17.0,0
1536364800000,18.0,18.0,18.0,18.0,0
1536451200000,13.0,13.0,13.0,13.0,0
1536537600000,15.0,15.0,15.0,15.0,0
1536624000000,18.0,18.0,18.0,18.0,0
1536710400000,14.0,14.0,14.0,14.0,0
1536796800000,20.0,20.0,20.0,20.0,0
1536883200000,23.0,23.0,23.0,23.0,0
1536969600000,24.0,24.0,24.0,24.0,0
1537056000000,28.0,28.0,28.0,28.0,0
1537142400000,25.0,25.0,25.0,25.0,0
1537228800000,21.0,21.0,21.0,21.0,0
1537315200000,24.0,24.0,24.0,24.0,0
1537401600000,24.0,24.0,24.0,24.0,0
1537488000000,31.0,31.0,31.0,31.0,0
1537574400000,35.0,35.0,35.0,35.0,0
1537660800000,38.0,38.0,38.0,38.0,0
1537747200000,43.0,43.0,43.0,43.0,0
1537833600000,37.0,37.0,37.0,37.0,0
1537920000000,37.0,37.0,37.0,37.0,0
1538006400000,42.0,42.0,42.0,42.0,0
1538092800000,42.0,42.0,42.0,42.0,0
1538179200000,37.0,37.0,37.0,37.0,0
1538265600000,34.0,34.0,34.0,34.0,0
1538352000000,35.0,35.0,35.0,35.0,0
1538438400000,33.0,33.0,33.0,33.0,0
1538524800000,36.0,36.0,36.0,36.0,0
1538611200000,29.0,29.0,29.0,29.0,0
1538697600000,37.0,37.0,37.0,37.0,0
1538784000000,34.0,34.0,34.0,34.0,0
1538870400000,29.0,29.0,29.0,29.0,0
1538956800000,26.0,26.0,26.0,26.0,0
1539043200000,31.0,31.0,31.0,31.0,0
1539129600000,28.0,28.0,28.0,28.0,0
1539216000000,19.0,19.0,19.0,19.0,0
1539302400000,13.0,13.0,13.0,13.0,0
1539388800000,15.0,15.0,15.0,15.0,0
1539475200000,18.0,18.0,18.0,18.0,0
1539561600000,20.0,20.0,20.0,20.0,0
1539648000000,24.0,24.0,24.0,24.0,0
1539734400000,23.0,23.0,23.0,23.0,0
1539820800000,26.0,26.0,26.0,26.0,0
1539907200000,24.0,24.0,24.0,24.0,0
1539993600000,21.0,21.0,21.0,21.0,0
1540080000000,21.0,21.0,21.0,21.0,0
1540166400000,27.0,27.0,27.0,27.0,0
1540252800000,24.0,24.0,24.0,24.0,0
1540339200000,23.0,23.0,23.0,23.0,0
1540425600000,25.0,25.0,25.0,25.0,0
1540512000000,29.0,29.0,29.0,29.0,0
1540598400000,33.0,33.0,33.0,33.0,0
1540684800000,35.0,35.0,35.0,35.0,0
1540771200000,34.0,34.0,34.0,34.0,0
1540857600000,31.0,31.0,31.0,31.0,0
1540944000000,32.0,32.0,32.0,32.0,0
1541030400000,29.0,29.0,29.0,29.0,0
1541116800000,36.0,36.0,36.0,36.0,0
1541203200000,36.0,36.0,36.0,36.0,0
1541289600000,41.0,41.0,41.0,41.0,0
1541376000000,42.0,42.0,42.0,42.0,0
1541462400000,42.0,42.0,42.0,42.0,0
1541548800000,48.0,48.0,48.0,48.0,0
1541635200000,51.0,51.0,51.0,51.0,0
1541721600000,47.0,47.0,47.0,47.0,0
1541808000000,52.0,52.0,52.0,52.0,0
1541894400000,54.0,54.0,54.0,54.0,0
1541980800000,52.0,52.0,52.0,52.0,0
1542067200000,56.0,56.0,56.0,56.0,0
1542153600000,49.0,49.0,49.0,49.0,0
1542240000000,28.0,28.0,28.0,28.0,0
1542326400000,23.0,23.0,23.0,23.0,0
1542412800000,24.0,24.0,24.0,24.0,0
1542499200000,26.0,26.0,26.0,26.0,0
1542585600000,28.0,28.0,28.0,28.0,0
1542672000000,21.0,21.0,21.0,21.0,0
1542758400000,15.0,15.0,15.0,15.0,0
1542844800000,14.0,14.0,14.0,14.0,0
1542931200000,12.0,12.0,12.0,12.0,0
1543017600000,15.0,15.0,15.0,15.0,0
1543104000000,9.0,9.0,9.0,9.0,0
1543190400000,17.0,17.0,17.0,17.0,0
1543276800000,11.0,11.0,11.0,11.0,0
1543363200000,14.0,14.0,14.0,14.0,0
1543449600000,18.0,18.0,18.0,18.0,0
1543536000000,19.0,19.0,19.0,19.0,0
1543622400000,13.0,13.0,13.0,13.0,0
1543708800000,15.0,15.0,15.0,15.0,0
1543795200000,17.0,17.0,17.0,17.0,0
1543881600000,12.0,12.0,12.0,12.0,0
1543968000000,19.0,19.0,19.0,19.0,0
1544054400000,13.0,13.0,13.0,13.0,0
1544140800000,11.0,11.0,11.0,11.0,0
1544227200000,11.0,11.0,11.0,11.0,0
1544313600000,14.0,14.0,14.0,14.0,0
1544400000000,19.0,19.0,19.0,19.0,0
1544486400000,15.0,15.0,15.0,15.0,0
1544572800000,14.0,14.0,14.0,14.0,0
1544659200000,14.0,14.0,14.0,14.0,0
1544745600000,10.0,10.0,10.0,10.0,0
1544832000000,11.0,11.0,11.0,11.0,0
1544918400000,13.0,13.0,13.0,13.0,0
1545004800000,17.0,17.0,17.0,17.0,0
1545091200000,23.0,23.0,23.0,23.0,0
1545177600000,21.0,21.0,21.0,21.0,0
1545264000000,27.0,27.0,27.0,27.0,0
1545350400000,35.0,35.0,35.0,35.0,0
1545436800000,28.0,28.0,28.0,28.0,0
1545523200000,31.0,31.0,31.0,31.0,0
1545609600000,25.0,25.0,25.0,25.0,0
1545696000000,33.0,33.0,33.0,33.0,0
1545782400000,26.0,26.0,26.0,26.0,0
1545868800000,29.0,29.0,29.0,29.0,0
1545955200000,21.0,21.0,21.0,21.0,0
1546041600000,24.0,24.0,24.0,24.0,0
1546128000000,23.0,23.0,23.0,23.0,0
1546214400000,26.0,26.0,26.0,26.0,0
1546300800000,24.0,24.0,24.0,24.0,0
1546387200000,30.0,30.0,30.0,30.0,0
1546473600000,33.0,33.0,33.0,33.0,0
1546560000000,48.0,48.0,48.0,48.0,0
1546646400000,36.0,36.0,36.0,36.0,0
1546732800000,31.0,31.0,31.0,31.0,0
1546819200000,39.0,39.0,39.0,39.0,0
1546905600000,39.0,39.0,39.0,39.0,0
1546992000000,42.0,42.0,42.0,42.0,0
1547078400000,37.0,37.0,37.0,37.0,0
1547164800000,19.0,19.0,19.0,19.0,0
1547251200000,22.0,22.0,22.0,22.0,0
1547337600000,21.0,21.0,21.0,21.0,0
1547424000000,16.0,16.0,16.0,16.0,0
1547510400000,27.0,27.0,27.0,27.0,0
1547596800000,24.0,24.0,24.0,24.0,0
1547683200000,28.0,28.0,28.0,28.0,0
1547769600000,29.0,29.0,29.0,29.0,0
1547856000000,31.0,31.0,31.0,31.0,0
1547942400000,35.0,35.0,35.0,35.0,0
1548028800000,30.0,30.0,30.0,30.0,0
1548115200000,27.0,27.0,27.0,27.0,0
1548201600000,33.0,33.0,33.0,33.0,0
1548288000000,37.0,37.0,37.0,37.0,0
1548374400000,35.0,35.0,35.0,35.0,0
1548460800000,41.0,41.0,41.0,41.0,0
1548547200000,39.0,39.0,39.0,39.0,0
1548633600000,35.0,35.0,35.0,35.0,0
1548720000000,21.0,21.0,21.0,21.0,0
1548806400000,22.0,22.0,22.0,22.0,0
1548892800000,17.0,17.0,17.0,17.0,0
1548979200000,23.0,23.0,23.0,23.0,0
1549065600000,22.0,22.0,22.0,22.0,0
1549152000000,19.0,19.0,19.0,19.0,0
1549238400000,27.0,27.0,27.0,27.0,0
1549324800000,21.0,21.0,21.0,21.0,0
1549411200000,14.0,14.0,14.0,14.0,0
1549497600000,18.0,18.0,18.0,18.0,0
1549584000000,37.0,37.0,37.0,37.0,0
1549670400000,42.0,42.0,42.0,42.0,0
1549756800000,40.0,40.0,40.0,40.0,0
1549843200000,46.0,46.0,46.0,46.0,0
1549929600000,38.0,38.0,38.0,38.0,0
1550016000000,48.0,48.0,48.0,48.0,0
1550102400000,48.0,48.0,48.0,48.0,0
1550188800000,43.0,43.0,43.0,43.0,0
1550275200000,43.0,43.0,43.0,43.0,0
1550361600000,38.0,38.0,38.0,38.0,0
1550448000000,63.0,63.0,63.0,63.0,0
1550534400000,65.0,65.0,65.0,65.0,0
1550620800000,59.0,59.0,59.0,59.0,0
1550707200000,59.0,59.0,59.0,59.0,0
1550793600000,61.0,61.0,61.0,61.0,0
1550880000000,63.0,63.0,63.0,63.0,0
1550966400000,69.0,69.0,69.0,69.0,0
1551052800000,47.0,47.0,47.0,47.0,0
1551139200000,40.0,40.0,40.0,40.0,0
1551225600000,39.0,39.0,39.0,39.0,0
1551312000000,39.0,39.0,39.0,39.0,0
1551398400000,42.0,42.0,42.0,42.0,0
1551484800000,41.0,41.0,41.0,41.0,0
1551571200000,44.0,44.0,44.0,44.0,0
1551657600000,36.0,36.0,36.0,36.0,0
1551744000000,35.0,35.0,35.0,35.0,0
1551830400000,42.0,42.0,42.0,42.0,0
1551916800000,56.0,56.0,56.0,56.0,0
1552003200000,54.0,54.0,54.0,54.0,0
1552089600000,55.0,55.0,55.0,55.0,0
1552176000000,55.0,55.0,55.0,55.0,0
1552262400000,56.0,56.0,56.0,56.0,0
1552348800000,56.0,56.0,56.0,56.0,0
1552435200000,54.0,54.0,54.0,54.0,0
1552521600000,55.0,55.0,55.0,55.0,0
1552608000000,55.0,55.0,55.0,55.0,0
1552694400000,54.0,54.0,54.0,54.0,0
1552780800000,58.0,58.0,58.0,58.0,0
1552867200000,56.0,56.0,56.0,56.0,0
1552953600000,56.0,56.0,56.0,56.0,0
1553040000000,55.0,55.0,55.0,55.0,0
1553126400000,62.0,62.0,62.0,62.0,0
1553212800000,56.0,56.0,56.0,56.0,0
1553299200000,50.0,50.0,50.0,50.0,0
1553385600000,44.0,44.0,44.0,44.0,0
1553472000000,46.0,46.0,46.0,46.0,0
1553558400000,43.0,43.0,43.0,43.0,0
1553644800000,44.0,44.0,44.0,44.0,0
1553731200000,49.0,49.0,49.0,49.0,0
1553817600000,50.0,50.0,50.0,50.0,0
1553904000000,57.0,57.0,57.0,57.0,0
1553990400000,56.0,56.0,56.0,56.0,0
